lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33398,40,517,13,1,2026-07-16 17:54:30.043000
33398,40,519,13,1,2026-07-16 17:54:30.043000
33398,40,520,13,1,2026-07-16 17:54:30.043000
33398,40,521,13,1,2026-07-16 17:54:30.043000
33398,40,522,13,1,2026-07-16 17:54:30.043000
33398,40,523,13,1,2026-07-16 17:54:30.043000
33399,15,500,8,1,2026-07-14 20:41:55.513000
33399,15,501,8,1,2026-07-14 20:41:55.513000
33399,15,502,8,1,2026-07-14 20:41:55.513000
33399,15,504,9,1,2026-07-14 20:41:55.513000
33399,15,505,9,1,2026-07-14 20:41:55.513000
33399,15,506,9,1,2026-07-14 20:41:55.513000
33399,15,507,13,1,2026-07-14 20:41:55.513000
33399,15,508,13,1,2026-07-14 20:41:55.513000
33399,15,509,13,1,2026-07-14 20:41:55.513000
33399,15,510,13,1,2026-07-14 20:41:55.513000
33399,15,511,13,1,2026-07-14 20:41:55.513000
33399,15,512,13,1,2026-07-14 20:41:55.513000
33399,15,513,13,1,2026-07-14 20:41:55.513000
33399,15,514,13,1,2026-07-14 20:41:55.513000
33399,15,515,13,1,2026-07-14 20:41:55.513000
33399,15,516,13,1,2026-07-14 20:41:55.513000
33399,15,517,13,1,2026-07-14 20:41:55.513000
33399,15,519,13,1,2026-07-14 20:41:55.513000
33399,15,520,13,1,2026-07-14 20:41:55.513000
33399,15,521,13,1,2026-07-14 20:41:55.513000
33399,15,522,13,1,2026-07-14 20:41:55.513000
33399,15,523,13,1,2026-07-14 20:41:55.513000
33405,25,368,12,1,2020-06-19 22:57:32.487000
33405,25,369,12,1,2020-06-19 22:57:32.487000
33405,25,370,12,1,2020-06-19 22:57:32.487000
33405,25,371,12,1,2020-06-19 22:57:32.487000
33405,25,372,12,1,2020-06-19 22:57:32.487000
33411,29,368,12,1,2019-10-02 20:01:24.527000
33411,29,369,12,1,2019-10-02 20:01:24.527000
33411,29,370,12,1,2019-10-02 20:01:24.527000
33411,29,371,12,1,2019-10-02 20:01:24.527000
33411,29,372,12,1,2019-10-02 20:01:24.527000
33417,40,378,13,1,2021-04-05 19:41:21.933000
33417,40,379,13,1,2021-04-05 19:41:21.933000
33417,40,380,13,1,2021-04-05 19:41:21.933000
33417,40,381,13,1,2021-04-05 19:41:21.933000
33417,40,394,12,1,2021-04-05 19:41:21.933000
33417,40,395,12,1,2021-04-05 19:41:21.933000
33417,40,396,12,1,2021-04-05 19:41:21.933000
33420,41,374,13,1,2021-02-25 14:46:39.370000
33420,41,375,13,1,2021-02-25 14:46:39.370000
33420,41,376,13,1,2021-02-25 14:46:39.370000
33420,41,377,13,1,2021-02-25 14:46:39.370000
33420,41,378,13,1,2021-02-25 14:46:39.370000
33420,41,379,13,1,2021-02-25 14:46:39.370000
33420,41,380,13,1,2021-02-25 14:46:39.370000
33420,41,381,13,1,2021-02-25 14:46:39.370000
33420,41,391,12,1,2021-02-25 14:46:39.370000
33420,41,392,12,1,2021-02-25 14:46:39.370000
33420,41,393,12,1,2021-02-25 14:46:39.370000
33420,41,394,12,1,2021-02-25 14:46:39.370000
33420,41,395,12,1,2021-02-25 14:46:39.370000
33420,41,396,12,1,2021-02-25 14:46:39.370000
33423,58,374,13,1,2025-06-20 13:43:45.463000
33423,58,375,13,1,2025-06-20 13:43:45.463000
33423,58,376,13,1,2025-06-20 13:43:45.463000
33423,58,377,13,1,2025-06-20 13:43:45.463000
33423,58,378,13,1,2025-06-20 13:43:45.463000
33423,58,379,13,1,2025-06-20 13:43:45.463000
33423,58,380,13,1,2025-06-20 13:43:45.463000
33423,58,381,13,1,2025-06-20 13:43:45.463000
33423,58,391,12,1,2025-06-20 13:43:45.463000
33423,58,392,12,1,2025-06-20 13:43:45.463000
33423,58,393,12,1,2025-06-20 13:43:45.463000
33423,58,394,12,1,2025-06-20 13:43:45.463000
33423,58,395,12,1,2025-06-20 13:43:45.463000
33423,58,396,12,1,2025-06-20 13:43:45.463000
33428,53,374,13,1,2021-07-23 13:55:57.220000
