reason_change_id,reason_change_version,description,last_updated,sort_order,for_draft
81,3,Change in Corporate Name,2016-09-22 00:00:00,27,N
82,3,Other,2016-09-22 00:00:00,99,N
83,3,Provider Education/Guidance,2016-09-22 00:00:00,1,Y
84,3,Public Education/Guidance,2016-09-22 00:00:00,2,Y
85,3,New/Updated Technology,2016-09-22 00:00:00,3,Y
86,3,Aberrant Local Utilization,2016-09-22 00:00:00,4,Y
87,3,Risk Identified by the Office of Inspector General (OIG),2016-09-22 00:00:00,5,Y
88,3,Risk Identified by the General Accounting Office (GAO),2016-09-22 00:00:00,6,Y
89,3,Risk Identified by a Comprehensive Error Rate Testing (CERT) Contractor,2016-09-22 00:00:00,7,Y
90,3,Risk Identified by a Recovery Audit Contractor,2016-09-22 00:00:00,8,Y
91,3,Risk Identified by a Zone Program Integrity Contractor (ZPIC),2016-09-22 00:00:00,9,Y
92,3,NCD Supplementation,2016-09-22 00:00:00,10,Y
93,3,Request for Coverage by a Beneficiary,2016-09-22 00:00:00,11,Y
94,3,Request for Coverage by a Supplier,2016-09-22 00:00:00,12,Y
95,3,Request for Coverage by a Practitioner (Part B),2016-09-22 00:00:00,13,Y
96,3,Request for Coverage by a Provider (Part A),2016-09-22 00:00:00,14,Y
97,3,Creation of Uniform LCDs Within a MAC Jurisdiction,2016-09-22 00:00:00,15,Y
98,3,Creation of Uniform LCDs With Other MAC Jurisdiction,2016-09-22 00:00:00,16,Y
99,3,Automated Edits to Enforce Reasonable &amp; Necessary Requirements,2016-09-22 00:00:00,17,Y
100,3,Change in Assigned States,2016-09-22 00:00:00,18,Y
101,3,Change in Affiliated Contract Numbers,2016-09-22 00:00:00,19,Y
102,3,Change to Lettered Jurisdiction Designation,2016-09-22 00:00:00,20,Y
103,3,Change in Corporate Name,2016-09-22 00:00:00,21,Y
104,3,Other,2016-09-22 00:00:00,99,Y
105,3,Revisions Due To Code Removal,2019-07-01 00:00:00,21,N
