lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
33580,40,1,89,1,2025-04-29 23:04:23.657000
33580,40,2,192,1,2025-04-29 23:04:23.660000
33580,40,3,274,1,2025-04-29 23:04:23.660000
33580,40,4,237,1,2025-04-29 23:04:23.660000
33580,41,1,89,1,2025-04-29 23:04:23.657000
33580,41,2,192,1,2025-04-29 23:04:23.660000
33580,41,3,274,1,2025-04-29 23:04:23.660000
33580,41,4,237,1,2025-04-29 23:04:23.660000
33583,21,1,81,1,2025-04-29 23:04:16.657000
33583,21,2,108,1,2025-04-29 23:04:16.657000
33585,33,1,186,1,2025-04-29 23:04:22.860000
33585,33,2,177,1,2025-04-29 23:04:22.863000
33585,33,3,263,1,2025-04-29 23:04:22.870000
33585,33,4,272,1,2025-04-29 23:04:22.870000
33585,34,1,186,1,2025-04-29 23:04:22.860000
33585,34,2,177,1,2025-04-29 23:04:22.863000
33585,34,3,263,1,2025-04-29 23:04:22.870000
33585,34,4,272,1,2025-04-29 23:04:22.870000
33591,18,1,266,1,2025-04-29 23:04:23.597000
33591,18,2,187,1,2025-04-29 23:04:23.597000
33591,18,3,161,1,2025-04-29 23:04:23.597000
33591,19,1,266,1,2025-04-29 23:04:23.597000
33591,19,2,187,1,2025-04-29 23:04:23.597000
33591,19,3,161,1,2025-04-29 23:04:23.597000
33609,14,1,0,1,2025-04-29 23:04:16.660000
33610,61,1,0,1,2025-04-29 23:04:18.143000
33610,65,1,0,1,2025-04-29 23:04:18.143000
33610,70,1,0,1,2025-04-29 23:04:18.143000
33611,25,1,0,1,2025-04-29 23:04:18.147000
33612,26,1,190,1,2025-04-29 23:04:18.147000
33614,26,1,0,1,2025-04-29 23:04:22.993000
33614,27,1,0,1,2025-04-29 23:04:22.993000
33616,10,1,3,1,2025-04-29 23:04:23.543000
33616,11,1,3,1,2025-04-29 23:04:23.543000
33618,23,1,0,1,2025-04-29 23:04:16.660000
33619,24,1,263,1,2025-04-29 23:04:23.430000
33619,25,1,263,1,2025-04-29 23:04:23.430000
33621,15,1,263,1,2025-04-29 23:04:23.533000
33621,15,2,60,1,2025-04-29 23:04:23.533000
33621,15,3,9,1,2025-04-29 23:04:23.537000
33621,16,1,263,1,2025-04-29 23:04:23.533000
33621,16,2,60,1,2025-04-29 23:04:23.533000
33621,16,3,9,1,2025-04-29 23:04:23.537000
33622,35,1,0,1,2025-04-29 23:04:23.560000
33622,36,1,0,1,2025-04-29 23:04:23.560000
33623,25,1,201,1,2025-04-29 23:04:23.563000
33623,26,1,201,1,2025-04-29 23:04:23.563000
33624,33,1,26,1,2025-04-29 23:04:23.590000
33624,33,2,30,1,2025-04-29 23:04:23.590000
33624,33,3,31,1,2025-04-29 23:04:23.590000
33624,33,4,59,1,2025-04-29 23:04:23.590000
33624,34,1,26,1,2025-04-29 23:04:23.590000
33624,34,2,30,1,2025-04-29 23:04:23.590000
33624,34,3,31,1,2025-04-29 23:04:23.590000
33624,34,4,59,1,2025-04-29 23:04:23.590000
33626,44,1,0,1,2025-04-29 23:04:23.593000
33626,45,1,0,1,2025-04-29 23:04:23.593000
33627,89,1,263,1,2025-04-29 23:04:23.430000
33627,90,1,263,1,2025-04-29 23:04:23.430000
33628,33,1,69,1,2025-04-29 23:04:23.563000
33628,34,1,69,1,2025-04-29 23:04:23.563000
33630,27,1,0,1,2025-04-29 23:04:22.987000
33630,28,1,0,1,2025-04-29 23:04:22.987000
33631,51,1,58,1,2025-04-29 23:04:23.543000
33631,51,2,240,1,2025-04-29 23:04:23.547000
33631,51,3,76,1,2025-04-29 23:04:23.547000
33631,51,4,22,1,2025-04-29 23:04:23.550000
33631,51,5,63,1,2025-04-29 23:04:23.550000
33631,51,6,175,1,2025-04-29 23:04:23.550000
33631,51,7,151,1,2025-04-29 23:04:23.553000
33631,51,8,94,1,2025-04-29 23:04:23.553000
33631,51,9,124,1,2025-04-29 23:04:23.557000
33631,51,10,354,1,2025-04-29 23:04:23.557000
33631,51,11,250,1,2025-04-29 23:04:23.560000
33631,51,12,315,1,2025-04-29 23:04:23.560000
33631,52,1,58,1,2025-04-29 23:04:23.543000
33631,52,2,240,1,2025-04-29 23:04:23.547000
33631,52,3,76,1,2025-04-29 23:04:23.547000
33631,52,4,22,1,2025-04-29 23:04:23.550000
33631,52,5,63,1,2025-04-29 23:04:23.550000
33631,52,6,175,1,2025-04-29 23:04:23.550000
33631,52,7,151,1,2025-04-29 23:04:23.553000
33631,52,8,94,1,2025-04-29 23:04:23.553000
33631,52,9,124,1,2025-04-29 23:04:23.557000
33631,52,10,354,1,2025-04-29 23:04:23.557000
33631,52,11,250,1,2025-04-29 23:04:23.560000
33631,52,12,315,1,2025-04-29 23:04:23.560000
33632,82,1,0,1,2025-04-29 23:04:23.593000
33632,83,1,0,1,2025-04-29 23:04:23.593000
33633,49,1,177,1,2025-04-29 23:04:23.270000
33633,49,2,178,1,2025-04-29 23:04:23.277000
33633,50,1,177,1,2025-04-29 23:04:23.270000
33633,50,2,178,1,2025-04-29 23:04:23.277000
33636,52,1,171,1,2025-04-29 23:04:23.600000
33636,53,1,171,1,2025-04-29 23:04:23.600000
33641,21,1,208,1,2025-04-29 23:04:18.150000
33642,26,1,190,1,2025-04-29 23:04:18.150000
33646,39,1,0,1,2025-04-29 23:04:22.857000
33646,40,1,0,1,2025-04-29 23:04:22.857000
33667,22,1,165,1,2025-04-29 23:04:16.660000
33667,22,2,12,1,2025-04-29 23:04:16.663000
33667,22,3,263,1,2025-04-29 23:04:16.663000
33667,23,1,165,1,2025-04-29 23:04:16.660000
33667,23,2,12,1,2025-04-29 23:04:16.663000
33667,23,3,263,1,2025-04-29 23:04:16.663000
33671,48,1,81,1,2025-04-29 23:04:16.667000
33674,10,1,263,1,2025-04-29 23:04:16.667000
33686,41,1,0,1,2025-04-29 23:04:18.157000
33686,43,1,0,1,2025-04-29 23:04:18.157000
33689,17,1,129,1,2025-04-29 23:04:16.670000
33690,20,1,0,1,2025-04-29 23:04:18.157000
33692,21,1,190,1,2025-04-29 23:04:18.160000
33692,21,2,228,1,2025-04-29 23:04:18.160000
33693,28,1,165,1,2025-04-29 23:04:16.670000
33693,28,2,263,1,2025-04-29 23:04:16.673000
33695,26,1,165,1,2025-04-29 23:04:16.673000
33695,26,2,212,1,2025-04-29 23:04:16.677000
33695,26,3,263,1,2025-04-29 23:04:16.677000
33695,26,4,204,1,2025-04-29 23:04:16.680000
33718,52,1,226,1,2025-04-29 23:04:18.160000
33718,52,2,190,1,2025-04-29 23:04:18.163000
33733,19,1,190,1,2025-04-29 23:04:18.163000
33733,19,2,168,1,2025-04-29 23:04:18.167000
33733,19,3,219,1,2025-04-29 23:04:18.167000
33735,19,1,0,1,2025-04-29 23:04:18.170000
33736,20,1,190,1,2025-04-29 23:04:18.170000
33737,20,1,0,1,2025-04-29 23:04:18.170000
33738,18,1,0,1,2025-04-29 23:04:18.173000
33739,21,1,190,1,2025-04-29 23:04:18.173000
33739,21,2,274,1,2025-04-29 23:04:18.177000
33739,23,1,190,1,2025-04-29 23:04:18.173000
33739,23,2,274,1,2025-04-29 23:04:18.177000
33751,43,1,128,1,2025-04-29 23:04:16.680000
33751,43,2,349,1,2025-04-29 23:04:16.683000
33751,43,3,157,1,2025-04-29 23:04:16.683000
33751,43,4,350,1,2025-04-29 23:04:16.687000
33751,43,5,56,1,2025-04-29 23:04:16.690000
33751,43,6,261,1,2025-04-29 23:04:16.690000
33751,43,7,69,1,2025-04-29 23:04:16.690000
33751,43,8,176,1,2025-04-29 23:04:16.693000
33756,23,1,263,1,2025-04-29 23:04:16.697000
33766,25,1,0,1,2025-04-29 23:04:16.697000
33771,42,1,0,1,2025-04-29 23:04:16.697000
33774,15,1,81,1,2025-04-29 23:04:16.700000
33784,21,1,190,1,2025-04-29 23:04:18.177000
33785,40,1,0,1,2025-04-29 23:04:18.177000
33786,16,1,229,1,2025-04-29 23:04:18.180000
33787,35,1,0,1,2025-04-29 23:04:18.183000
33787,38,1,0,1,2025-04-29 23:04:18.183000
33787,40,1,0,1,2025-04-29 23:04:18.183000
33788,15,1,190,1,2025-04-29 23:04:18.183000
33788,15,2,219,1,2025-04-29 23:04:18.187000
33789,35,1,190,1,2025-04-29 23:04:18.187000
33789,35,2,219,1,2025-04-29 23:04:18.190000
33789,35,3,376,1,2025-04-29 23:04:18.190000
33789,38,1,190,1,2025-04-29 23:04:18.187000
33789,38,2,219,1,2025-04-29 23:04:18.190000
33789,38,3,376,1,2025-04-29 23:04:18.190000
33790,20,1,0,1,2025-04-29 23:04:18.193000
33791,15,1,190,1,2025-04-29 23:04:18.193000
33791,15,2,219,1,2025-04-29 23:04:18.197000
33792,41,1,190,1,2025-04-29 23:04:18.220000
33792,41,2,219,1,2025-04-29 23:04:18.223000
33792,41,3,376,1,2025-04-29 23:04:18.223000
33792,43,1,190,1,2025-04-29 23:04:18.220000
33792,43,2,219,1,2025-04-29 23:04:18.223000
33792,43,3,376,1,2025-04-29 23:04:18.223000
33793,20,1,233,1,2025-04-29 23:04:18.227000
33794,153,1,223,1,2025-04-29 23:04:18.227000
33794,153,2,190,1,2025-04-29 23:04:18.230000
33794,157,2,190,4,2025-11-20 17:35:27.063000
33794,157,3,223,2,2025-11-20 17:35:42.340000
33794,164,2,190,4,2025-11-20 17:35:27.063000
33794,164,3,223,2,2025-11-20 17:35:42.340000
33794,171,2,190,4,2025-11-20 17:35:27.063000
33794,171,3,223,2,2025-11-20 17:35:42.340000
33795,29,1,0,1,2025-04-29 23:04:18.230000
33796,24,1,65,1,2025-04-29 23:04:18.230000
33797,50,1,169,1,2025-04-29 23:04:18.233000
33797,50,2,312,1,2025-04-29 23:04:18.233000
33797,50,3,47,1,2025-04-29 23:04:18.237000
33797,50,4,190,1,2025-04-29 23:04:18.237000
33799,15,1,190,1,2025-04-29 23:04:18.240000
33800,41,2,380,1,2025-09-25 21:29:47.207000
33800,43,2,380,1,2025-09-25 21:29:47.207000
33801,26,1,221,1,2025-04-29 23:04:18.240000
33801,26,2,190,1,2025-04-29 23:04:18.243000
33802,35,1,145,1,2025-04-29 23:04:18.243000
33802,35,2,63,1,2025-04-29 23:04:18.247000
33802,35,3,151,1,2025-04-29 23:04:18.247000
